locus_tag	ftype	length_bp	gene	EC_number	COG	product
IENKKHDG_01080	CDS	174				hypothetical protein
IENKKHDG_01081	CDS	174				hypothetical protein
IENKKHDG_01082	CDS	174				hypothetical protein
IENKKHDG_01083	CDS	123				hypothetical protein
IENKKHDG_01084	CDS	129				hypothetical protein
IENKKHDG_01085	CDS	174				hypothetical protein
IENKKHDG_01086	CDS	123				hypothetical protein
IENKKHDG_01087	CDS	129				hypothetical protein
IENKKHDG_01088	CDS	174				hypothetical protein
IENKKHDG_01089	CDS	174				hypothetical protein
IENKKHDG_01090	CDS	123				hypothetical protein
IENKKHDG_01091	CDS	129				hypothetical protein
IENKKHDG_01092	CDS	174				hypothetical protein
IENKKHDG_01093	CDS	123				hypothetical protein
IENKKHDG_01094	CDS	129				hypothetical protein
IENKKHDG_01095	CDS	174				hypothetical protein
IENKKHDG_01096	CDS	174				hypothetical protein
IENKKHDG_01097	CDS	123				hypothetical protein
IENKKHDG_01098	CDS	129				hypothetical protein
IENKKHDG_01099	CDS	174				hypothetical protein
IENKKHDG_01100	CDS	123				hypothetical protein
IENKKHDG_01101	CDS	129				hypothetical protein
IENKKHDG_01102	CDS	174				hypothetical protein
IENKKHDG_01103	CDS	174				hypothetical protein
IENKKHDG_01104	CDS	174				hypothetical protein
IENKKHDG_01105	CDS	123				hypothetical protein
IENKKHDG_01106	CDS	129				hypothetical protein
IENKKHDG_01107	CDS	180				hypothetical protein
IENKKHDG_01108	CDS	174				hypothetical protein
IENKKHDG_01109	CDS	174				hypothetical protein
IENKKHDG_01110	CDS	123				hypothetical protein
IENKKHDG_01111	CDS	129				hypothetical protein
IENKKHDG_01112	CDS	102				hypothetical protein
IENKKHDG_01113	CDS	129				hypothetical protein
IENKKHDG_01114	CDS	174				hypothetical protein
IENKKHDG_01115	CDS	123				hypothetical protein
IENKKHDG_01116	CDS	129				hypothetical protein
IENKKHDG_01117	CDS	174				hypothetical protein
IENKKHDG_01118	CDS	174				hypothetical protein
IENKKHDG_01119	CDS	123				hypothetical protein
IENKKHDG_01120	CDS	129				hypothetical protein
IENKKHDG_01121	CDS	174				hypothetical protein
IENKKHDG_01122	CDS	123				hypothetical protein
IENKKHDG_01123	CDS	129				hypothetical protein
IENKKHDG_01124	CDS	174				hypothetical protein
IENKKHDG_01125	CDS	123				hypothetical protein
IENKKHDG_01126	CDS	129				hypothetical protein
IENKKHDG_01127	CDS	174				hypothetical protein
IENKKHDG_01128	CDS	123				hypothetical protein
IENKKHDG_01129	CDS	129				hypothetical protein
IENKKHDG_01130	CDS	174				hypothetical protein
IENKKHDG_01131	CDS	123				hypothetical protein
IENKKHDG_01132	CDS	129				hypothetical protein
IENKKHDG_01133	CDS	174				hypothetical protein
IENKKHDG_01134	CDS	174				hypothetical protein
IENKKHDG_01135	CDS	123				hypothetical protein
IENKKHDG_01136	CDS	129				hypothetical protein
IENKKHDG_01137	CDS	174				hypothetical protein
IENKKHDG_01138	CDS	123				hypothetical protein
IENKKHDG_01139	CDS	129				hypothetical protein
IENKKHDG_01140	CDS	174				hypothetical protein
IENKKHDG_01141	CDS	123				hypothetical protein
IENKKHDG_01142	CDS	129				hypothetical protein
IENKKHDG_01143	CDS	174				hypothetical protein
IENKKHDG_01144	CDS	174				hypothetical protein
IENKKHDG_01145	CDS	123				hypothetical protein
IENKKHDG_01146	CDS	129				hypothetical protein
IENKKHDG_01147	CDS	174				hypothetical protein
IENKKHDG_01148	CDS	123				hypothetical protein
IENKKHDG_01149	CDS	129				hypothetical protein
IENKKHDG_01150	CDS	174				hypothetical protein
IENKKHDG_01151	CDS	123				hypothetical protein
IENKKHDG_01152	CDS	129				hypothetical protein
IENKKHDG_01153	CDS	174				hypothetical protein
IENKKHDG_01154	CDS	174				hypothetical protein
IENKKHDG_01155	CDS	123				hypothetical protein
IENKKHDG_01156	CDS	129				hypothetical protein
IENKKHDG_01157	CDS	174				hypothetical protein
IENKKHDG_01158	CDS	123				hypothetical protein
IENKKHDG_01159	CDS	129				hypothetical protein
IENKKHDG_01160	CDS	174				hypothetical protein
IENKKHDG_01161	CDS	174				hypothetical protein
IENKKHDG_01162	CDS	174				hypothetical protein
IENKKHDG_01163	CDS	174				hypothetical protein
IENKKHDG_01164	CDS	123				hypothetical protein
IENKKHDG_01165	CDS	129				hypothetical protein
IENKKHDG_01166	CDS	174				hypothetical protein
IENKKHDG_01167	CDS	123				hypothetical protein
IENKKHDG_01168	CDS	129				hypothetical protein
IENKKHDG_01169	CDS	174				hypothetical protein
IENKKHDG_01170	CDS	123				hypothetical protein
IENKKHDG_01171	CDS	129				hypothetical protein
IENKKHDG_01172	CDS	174				hypothetical protein
IENKKHDG_01173	CDS	174				hypothetical protein
IENKKHDG_01174	CDS	123				hypothetical protein
IENKKHDG_01175	CDS	129				hypothetical protein
IENKKHDG_01176	CDS	174				hypothetical protein
IENKKHDG_01177	CDS	174				hypothetical protein
IENKKHDG_01178	CDS	174				hypothetical protein
IENKKHDG_01179	CDS	174				hypothetical protein
IENKKHDG_01180	CDS	123				hypothetical protein
IENKKHDG_01181	CDS	129				hypothetical protein
IENKKHDG_01182	CDS	153				hypothetical protein
IENKKHDG_01183	CDS	174				hypothetical protein
IENKKHDG_01184	CDS	174				hypothetical protein
IENKKHDG_01185	CDS	123				hypothetical protein
IENKKHDG_01186	CDS	129				hypothetical protein
IENKKHDG_01187	CDS	174				hypothetical protein
IENKKHDG_01188	CDS	123				hypothetical protein
IENKKHDG_01189	CDS	129				hypothetical protein
IENKKHDG_01190	CDS	174				hypothetical protein
IENKKHDG_01191	CDS	174				hypothetical protein
IENKKHDG_01192	CDS	123				hypothetical protein
IENKKHDG_01193	CDS	129				hypothetical protein
IENKKHDG_01194	CDS	174				hypothetical protein
IENKKHDG_01195	CDS	174				hypothetical protein
IENKKHDG_01196	CDS	123				hypothetical protein
IENKKHDG_01197	CDS	129				hypothetical protein
IENKKHDG_01198	CDS	174				hypothetical protein
IENKKHDG_01199	CDS	123				hypothetical protein
IENKKHDG_01200	CDS	129				hypothetical protein
IENKKHDG_01201	CDS	174				hypothetical protein
IENKKHDG_01202	CDS	123				hypothetical protein
IENKKHDG_01203	CDS	129				hypothetical protein
IENKKHDG_01204	CDS	174				hypothetical protein
IENKKHDG_01205	CDS	174				hypothetical protein
IENKKHDG_01206	CDS	174				hypothetical protein
IENKKHDG_01207	CDS	123				hypothetical protein
IENKKHDG_01208	CDS	129				hypothetical protein
IENKKHDG_01209	CDS	174				hypothetical protein
IENKKHDG_01210	CDS	123				hypothetical protein
IENKKHDG_01211	CDS	129				hypothetical protein
IENKKHDG_01212	CDS	174				hypothetical protein
IENKKHDG_01213	CDS	123				hypothetical protein
IENKKHDG_01214	CDS	129				hypothetical protein
IENKKHDG_01215	CDS	174				hypothetical protein
IENKKHDG_01216	CDS	174				hypothetical protein
IENKKHDG_01217	CDS	123				hypothetical protein
IENKKHDG_01218	CDS	129				hypothetical protein
IENKKHDG_01219	CDS	174				hypothetical protein
IENKKHDG_01220	CDS	123				hypothetical protein
IENKKHDG_01221	CDS	174				hypothetical protein
IENKKHDG_01222	CDS	174				hypothetical protein
IENKKHDG_01223	CDS	123				hypothetical protein
IENKKHDG_01224	CDS	129				hypothetical protein
IENKKHDG_01225	CDS	174				hypothetical protein
IENKKHDG_01226	CDS	123				hypothetical protein
IENKKHDG_01227	CDS	129				hypothetical protein
IENKKHDG_01228	CDS	174				hypothetical protein
IENKKHDG_01229	CDS	123				hypothetical protein
IENKKHDG_01230	CDS	129				hypothetical protein
IENKKHDG_01231	CDS	174				hypothetical protein
IENKKHDG_01232	CDS	174				hypothetical protein
IENKKHDG_01233	CDS	123				hypothetical protein
IENKKHDG_01234	CDS	129				hypothetical protein
IENKKHDG_01235	CDS	174				hypothetical protein
IENKKHDG_01236	CDS	123				hypothetical protein
IENKKHDG_01237	CDS	129				hypothetical protein
IENKKHDG_01238	CDS	213				hypothetical protein
IENKKHDG_01239	CDS	174				hypothetical protein
IENKKHDG_01240	CDS	123				hypothetical protein
IENKKHDG_01241	CDS	129				hypothetical protein
IENKKHDG_01242	CDS	174				hypothetical protein
IENKKHDG_01243	CDS	123				hypothetical protein
IENKKHDG_01244	CDS	129				hypothetical protein
IENKKHDG_01245	CDS	174				hypothetical protein
IENKKHDG_01246	CDS	174				hypothetical protein
IENKKHDG_01247	CDS	123				hypothetical protein
IENKKHDG_01248	CDS	129				hypothetical protein
IENKKHDG_01249	CDS	174				hypothetical protein
IENKKHDG_01250	CDS	174				hypothetical protein
IENKKHDG_01251	CDS	123				hypothetical protein
IENKKHDG_01252	CDS	129				hypothetical protein
IENKKHDG_01253	CDS	174				hypothetical protein
IENKKHDG_01254	CDS	123				hypothetical protein
IENKKHDG_01255	CDS	129				hypothetical protein
IENKKHDG_01256	CDS	174				hypothetical protein
IENKKHDG_01257	CDS	123				hypothetical protein
IENKKHDG_01258	CDS	129				hypothetical protein
IENKKHDG_01259	CDS	174				hypothetical protein
IENKKHDG_01260	CDS	123				hypothetical protein
IENKKHDG_01261	CDS	129				hypothetical protein
IENKKHDG_01262	CDS	180				hypothetical protein
IENKKHDG_01263	CDS	105				hypothetical protein
IENKKHDG_01264	CDS	129				hypothetical protein
IENKKHDG_01265	CDS	174				hypothetical protein
IENKKHDG_01266	CDS	174				hypothetical protein
IENKKHDG_01267	CDS	123				hypothetical protein
IENKKHDG_01268	CDS	129				hypothetical protein
IENKKHDG_01269	CDS	174				hypothetical protein
IENKKHDG_01270	CDS	123				hypothetical protein
IENKKHDG_01271	CDS	129				hypothetical protein
IENKKHDG_01272	CDS	174				hypothetical protein
IENKKHDG_01273	CDS	123				hypothetical protein
IENKKHDG_01274	CDS	129				hypothetical protein
IENKKHDG_01275	CDS	174				hypothetical protein
IENKKHDG_01276	CDS	123				hypothetical protein
IENKKHDG_01277	CDS	129				hypothetical protein
IENKKHDG_01278	CDS	174				hypothetical protein
IENKKHDG_01279	CDS	123				hypothetical protein
IENKKHDG_01280	CDS	129				hypothetical protein
IENKKHDG_01281	CDS	174				hypothetical protein
IENKKHDG_01282	CDS	123				hypothetical protein
IENKKHDG_01283	CDS	129				hypothetical protein
IENKKHDG_01284	CDS	174				hypothetical protein
IENKKHDG_01285	CDS	123				hypothetical protein
IENKKHDG_01286	CDS	129				hypothetical protein
IENKKHDG_01287	CDS	174				hypothetical protein
IENKKHDG_01288	CDS	123				hypothetical protein
IENKKHDG_01289	CDS	129				hypothetical protein
IENKKHDG_01290	CDS	174				hypothetical protein
IENKKHDG_01291	CDS	123				hypothetical protein
IENKKHDG_01292	CDS	129				hypothetical protein
IENKKHDG_01293	CDS	174				hypothetical protein
IENKKHDG_01294	CDS	123				hypothetical protein
IENKKHDG_01295	CDS	129				hypothetical protein
IENKKHDG_01296	CDS	174				hypothetical protein
IENKKHDG_01297	CDS	123				hypothetical protein
IENKKHDG_01298	CDS	129				hypothetical protein
IENKKHDG_01299	CDS	174				hypothetical protein
IENKKHDG_01300	CDS	123				hypothetical protein
IENKKHDG_01301	CDS	129				hypothetical protein
IENKKHDG_01302	CDS	174				hypothetical protein
IENKKHDG_01303	CDS	123				hypothetical protein
IENKKHDG_01304	CDS	129				hypothetical protein
IENKKHDG_01305	CDS	174				hypothetical protein
IENKKHDG_01306	CDS	174				hypothetical protein
IENKKHDG_01307	CDS	123				hypothetical protein
IENKKHDG_01308	CDS	129				hypothetical protein
IENKKHDG_01309	CDS	174				hypothetical protein
IENKKHDG_01310	CDS	174				hypothetical protein
IENKKHDG_01311	CDS	174				hypothetical protein
IENKKHDG_01312	CDS	123				hypothetical protein
IENKKHDG_01313	CDS	129				hypothetical protein
IENKKHDG_01314	CDS	174				hypothetical protein
IENKKHDG_01315	CDS	123				hypothetical protein
IENKKHDG_01316	CDS	129				hypothetical protein
IENKKHDG_01317	CDS	174				hypothetical protein
IENKKHDG_01318	CDS	174				hypothetical protein
IENKKHDG_01319	CDS	123				hypothetical protein
IENKKHDG_01320	CDS	129				hypothetical protein
IENKKHDG_01321	CDS	174				hypothetical protein
IENKKHDG_01322	CDS	120				hypothetical protein
IENKKHDG_01323	CDS	129				hypothetical protein
IENKKHDG_01324	CDS	174				hypothetical protein
IENKKHDG_01325	CDS	174				hypothetical protein
IENKKHDG_01326	CDS	174				hypothetical protein
IENKKHDG_01327	CDS	174				hypothetical protein
IENKKHDG_01328	CDS	123				hypothetical protein
IENKKHDG_01329	CDS	129				hypothetical protein
IENKKHDG_01330	CDS	174				hypothetical protein
IENKKHDG_01331	CDS	123				hypothetical protein
IENKKHDG_01332	CDS	129				hypothetical protein
IENKKHDG_01333	CDS	174				hypothetical protein
IENKKHDG_01334	CDS	174				hypothetical protein
IENKKHDG_01335	CDS	174				hypothetical protein
IENKKHDG_01336	CDS	123				hypothetical protein
IENKKHDG_01337	CDS	129				hypothetical protein
IENKKHDG_01338	CDS	174				hypothetical protein
IENKKHDG_01339	CDS	174				hypothetical protein
IENKKHDG_01340	CDS	174				hypothetical protein
IENKKHDG_01341	CDS	174				hypothetical protein
IENKKHDG_01342	CDS	123				hypothetical protein
IENKKHDG_01343	CDS	129				hypothetical protein
IENKKHDG_01344	CDS	174				hypothetical protein
IENKKHDG_01345	CDS	123				hypothetical protein
IENKKHDG_01346	CDS	129				hypothetical protein
IENKKHDG_01347	CDS	174				hypothetical protein
IENKKHDG_01348	CDS	174				hypothetical protein
IENKKHDG_01349	CDS	123				hypothetical protein
IENKKHDG_01350	CDS	129				hypothetical protein
IENKKHDG_01351	CDS	174				hypothetical protein
IENKKHDG_01352	CDS	174				hypothetical protein
IENKKHDG_01353	CDS	123				hypothetical protein
IENKKHDG_01354	CDS	129				hypothetical protein
IENKKHDG_01355	CDS	174				hypothetical protein
IENKKHDG_01356	CDS	123				hypothetical protein
IENKKHDG_01357	CDS	129				hypothetical protein
IENKKHDG_01358	CDS	174				hypothetical protein
IENKKHDG_01359	CDS	174				hypothetical protein
IENKKHDG_01360	CDS	123				hypothetical protein
IENKKHDG_01361	CDS	129				hypothetical protein
IENKKHDG_01362	CDS	174				hypothetical protein
IENKKHDG_01363	CDS	174				hypothetical protein
IENKKHDG_01364	CDS	123				hypothetical protein
IENKKHDG_01365	CDS	129				hypothetical protein
IENKKHDG_01366	CDS	174				hypothetical protein
IENKKHDG_01367	CDS	174				hypothetical protein
IENKKHDG_01368	CDS	123				hypothetical protein
IENKKHDG_01369	CDS	129				hypothetical protein
IENKKHDG_01370	CDS	174				hypothetical protein
IENKKHDG_01371	CDS	123				hypothetical protein
IENKKHDG_01372	CDS	129				hypothetical protein
IENKKHDG_01373	CDS	213				hypothetical protein
IENKKHDG_01374	CDS	174				hypothetical protein
IENKKHDG_01375	CDS	123				hypothetical protein
IENKKHDG_01376	CDS	129				hypothetical protein
IENKKHDG_01377	CDS	174				hypothetical protein
IENKKHDG_01378	CDS	123				hypothetical protein
IENKKHDG_01379	CDS	129				hypothetical protein
IENKKHDG_01380	CDS	174				hypothetical protein
IENKKHDG_01381	CDS	123				hypothetical protein
IENKKHDG_01382	CDS	129				hypothetical protein
IENKKHDG_01383	CDS	174				hypothetical protein
IENKKHDG_01384	CDS	123				hypothetical protein
IENKKHDG_01385	CDS	129				hypothetical protein
IENKKHDG_01386	CDS	174				hypothetical protein
IENKKHDG_01387	CDS	174				hypothetical protein
IENKKHDG_01388	CDS	123				hypothetical protein
IENKKHDG_01389	CDS	129				hypothetical protein
IENKKHDG_01390	CDS	174				hypothetical protein
IENKKHDG_01391	CDS	123				hypothetical protein
IENKKHDG_01392	CDS	129				hypothetical protein
IENKKHDG_01393	CDS	174				hypothetical protein
IENKKHDG_01394	CDS	123				hypothetical protein
IENKKHDG_01395	CDS	129				hypothetical protein
IENKKHDG_01396	CDS	174				hypothetical protein
IENKKHDG_01397	CDS	174				hypothetical protein
IENKKHDG_01398	CDS	123				hypothetical protein
IENKKHDG_01399	CDS	129				hypothetical protein
IENKKHDG_01400	CDS	174				hypothetical protein
IENKKHDG_01401	CDS	174				hypothetical protein
IENKKHDG_01402	CDS	123				hypothetical protein
IENKKHDG_01403	CDS	129				hypothetical protein
IENKKHDG_01404	CDS	174				hypothetical protein
IENKKHDG_01405	CDS	123				hypothetical protein
IENKKHDG_01406	CDS	129				hypothetical protein
IENKKHDG_01407	CDS	174				hypothetical protein
IENKKHDG_01408	CDS	174				hypothetical protein
IENKKHDG_01409	CDS	123				hypothetical protein
IENKKHDG_01410	CDS	129				hypothetical protein
IENKKHDG_01411	CDS	174				hypothetical protein
IENKKHDG_01412	CDS	123				hypothetical protein
IENKKHDG_01413	CDS	129				hypothetical protein
IENKKHDG_01414	CDS	174				hypothetical protein
IENKKHDG_01415	CDS	123				hypothetical protein
IENKKHDG_01416	CDS	129				hypothetical protein
IENKKHDG_01417	CDS	174				hypothetical protein
IENKKHDG_01418	CDS	123				hypothetical protein
IENKKHDG_01419	CDS	129				hypothetical protein
IENKKHDG_01420	CDS	174				hypothetical protein
IENKKHDG_01421	CDS	174				hypothetical protein
IENKKHDG_01422	CDS	123				hypothetical protein
IENKKHDG_01423	CDS	129				hypothetical protein
IENKKHDG_01424	CDS	180				hypothetical protein
IENKKHDG_01425	CDS	138				hypothetical protein
IENKKHDG_01426	CDS	129				hypothetical protein
IENKKHDG_01427	CDS	174				hypothetical protein
IENKKHDG_01428	CDS	123				hypothetical protein
IENKKHDG_01429	CDS	129				hypothetical protein
IENKKHDG_01430	CDS	174				hypothetical protein
IENKKHDG_01431	CDS	174				hypothetical protein
IENKKHDG_01432	CDS	123				hypothetical protein
IENKKHDG_01433	CDS	129				hypothetical protein
IENKKHDG_01434	CDS	174				hypothetical protein
IENKKHDG_01435	CDS	123				hypothetical protein
IENKKHDG_01436	CDS	129				hypothetical protein
IENKKHDG_01437	CDS	174				hypothetical protein
IENKKHDG_01438	CDS	174				hypothetical protein
IENKKHDG_01439	CDS	174				hypothetical protein
IENKKHDG_01440	CDS	174				hypothetical protein
IENKKHDG_01441	CDS	123				hypothetical protein
IENKKHDG_01442	CDS	129				hypothetical protein
IENKKHDG_01443	CDS	174				hypothetical protein
IENKKHDG_01444	CDS	174				hypothetical protein
IENKKHDG_01445	CDS	174				hypothetical protein
IENKKHDG_01446	CDS	174				hypothetical protein
IENKKHDG_01447	CDS	123				hypothetical protein
IENKKHDG_01448	CDS	129				hypothetical protein
IENKKHDG_01449	CDS	174				hypothetical protein
IENKKHDG_01450	CDS	123				hypothetical protein
IENKKHDG_01451	CDS	129				hypothetical protein
IENKKHDG_01452	CDS	174				hypothetical protein
IENKKHDG_01453	CDS	231				hypothetical protein
IENKKHDG_01454	CDS	174				hypothetical protein
IENKKHDG_01455	CDS	123				hypothetical protein
IENKKHDG_01456	CDS	174				hypothetical protein
IENKKHDG_01457	CDS	123				hypothetical protein
IENKKHDG_01458	CDS	129				hypothetical protein
IENKKHDG_01459	CDS	174				hypothetical protein
IENKKHDG_01460	CDS	123				hypothetical protein
IENKKHDG_01461	CDS	129				hypothetical protein
IENKKHDG_01462	CDS	174				hypothetical protein
IENKKHDG_01463	CDS	123				hypothetical protein
IENKKHDG_01464	CDS	129				hypothetical protein
IENKKHDG_01465	CDS	174				hypothetical protein
IENKKHDG_01466	CDS	174				hypothetical protein
IENKKHDG_01467	CDS	123				hypothetical protein
IENKKHDG_01468	CDS	129				hypothetical protein
IENKKHDG_01469	CDS	174				hypothetical protein
IENKKHDG_01470	CDS	174				hypothetical protein
IENKKHDG_01471	CDS	174				hypothetical protein
IENKKHDG_01472	CDS	123				hypothetical protein
IENKKHDG_01473	CDS	129				hypothetical protein
IENKKHDG_01474	CDS	174				hypothetical protein
IENKKHDG_01475	CDS	123				hypothetical protein
IENKKHDG_01476	CDS	129				hypothetical protein
IENKKHDG_01477	CDS	174				hypothetical protein
IENKKHDG_01478	CDS	123				hypothetical protein
IENKKHDG_01479	CDS	129				hypothetical protein
IENKKHDG_01480	CDS	174				hypothetical protein
IENKKHDG_01481	CDS	123				hypothetical protein
IENKKHDG_01482	CDS	129				hypothetical protein
IENKKHDG_01483	CDS	174				hypothetical protein
IENKKHDG_01484	CDS	123				hypothetical protein
IENKKHDG_01485	CDS	129				hypothetical protein
IENKKHDG_01486	CDS	174				hypothetical protein
IENKKHDG_01487	CDS	174				hypothetical protein
IENKKHDG_01488	CDS	123				hypothetical protein
IENKKHDG_01489	CDS	129				hypothetical protein
IENKKHDG_01490	CDS	174				hypothetical protein
IENKKHDG_01491	CDS	123				hypothetical protein
IENKKHDG_01492	CDS	129				hypothetical protein
IENKKHDG_01493	CDS	174				hypothetical protein
IENKKHDG_01494	CDS	174				hypothetical protein
IENKKHDG_01495	CDS	123				hypothetical protein
IENKKHDG_01496	CDS	129				hypothetical protein
IENKKHDG_01497	CDS	174				hypothetical protein
IENKKHDG_01498	CDS	174				hypothetical protein
IENKKHDG_01499	CDS	102				hypothetical protein
IENKKHDG_01500	CDS	129				hypothetical protein
IENKKHDG_01501	CDS	174				hypothetical protein
IENKKHDG_01502	CDS	174				hypothetical protein
IENKKHDG_01503	CDS	174				hypothetical protein
IENKKHDG_01504	CDS	123				hypothetical protein
IENKKHDG_01505	CDS	129				hypothetical protein
IENKKHDG_01506	CDS	174				hypothetical protein
IENKKHDG_01507	CDS	123				hypothetical protein
IENKKHDG_01508	CDS	129				hypothetical protein
IENKKHDG_01509	CDS	174				hypothetical protein
IENKKHDG_01510	CDS	123				hypothetical protein
IENKKHDG_01511	CDS	129				hypothetical protein
IENKKHDG_01512	CDS	174				hypothetical protein
IENKKHDG_01513	CDS	174				hypothetical protein
IENKKHDG_01514	CDS	174				hypothetical protein
IENKKHDG_01515	CDS	123				hypothetical protein
IENKKHDG_01516	CDS	129				hypothetical protein
IENKKHDG_01517	CDS	174				hypothetical protein
IENKKHDG_01518	CDS	123				hypothetical protein
IENKKHDG_01519	CDS	129				hypothetical protein
IENKKHDG_01520	CDS	174				hypothetical protein
IENKKHDG_01521	CDS	123				hypothetical protein
IENKKHDG_01522	CDS	129				hypothetical protein
IENKKHDG_01523	CDS	174				hypothetical protein
IENKKHDG_01524	CDS	123				hypothetical protein
IENKKHDG_01525	CDS	129				hypothetical protein
IENKKHDG_01526	CDS	174				hypothetical protein
IENKKHDG_01527	CDS	123				hypothetical protein
IENKKHDG_01528	CDS	129				hypothetical protein
IENKKHDG_01529	CDS	174				hypothetical protein
IENKKHDG_01530	CDS	174				hypothetical protein
IENKKHDG_01531	CDS	123				hypothetical protein
IENKKHDG_01532	CDS	129				hypothetical protein
IENKKHDG_01533	CDS	174				hypothetical protein
IENKKHDG_01534	CDS	123				hypothetical protein
IENKKHDG_01535	CDS	129				hypothetical protein
IENKKHDG_01536	CDS	174				hypothetical protein
IENKKHDG_01537	CDS	174				hypothetical protein
IENKKHDG_01538	CDS	123				hypothetical protein
IENKKHDG_01539	CDS	129				hypothetical protein
IENKKHDG_01540	CDS	174				hypothetical protein
IENKKHDG_01541	CDS	174				hypothetical protein
IENKKHDG_01542	CDS	123				hypothetical protein
IENKKHDG_01543	CDS	129				hypothetical protein
IENKKHDG_01544	CDS	174				hypothetical protein
IENKKHDG_01545	CDS	174				hypothetical protein
IENKKHDG_01546	CDS	123				hypothetical protein
IENKKHDG_01547	CDS	129				hypothetical protein
IENKKHDG_01548	CDS	174				hypothetical protein
IENKKHDG_01549	CDS	123				hypothetical protein
IENKKHDG_01550	CDS	129				hypothetical protein
IENKKHDG_01551	CDS	174				hypothetical protein
IENKKHDG_01552	CDS	123				hypothetical protein
IENKKHDG_01553	CDS	129				hypothetical protein
IENKKHDG_01554	CDS	174				hypothetical protein
IENKKHDG_01555	CDS	123				hypothetical protein
IENKKHDG_01556	CDS	129				hypothetical protein
IENKKHDG_01557	CDS	180				hypothetical protein
IENKKHDG_01558	CDS	174				hypothetical protein
IENKKHDG_01559	CDS	174				hypothetical protein
IENKKHDG_01560	CDS	123				hypothetical protein
IENKKHDG_01561	CDS	129				hypothetical protein
IENKKHDG_01562	CDS	174				hypothetical protein
IENKKHDG_01563	CDS	123				hypothetical protein
IENKKHDG_01564	CDS	129				hypothetical protein
IENKKHDG_01565	CDS	174				hypothetical protein
IENKKHDG_01566	CDS	123				hypothetical protein
IENKKHDG_01567	CDS	129				hypothetical protein
IENKKHDG_01568	CDS	174				hypothetical protein
IENKKHDG_01569	CDS	123				hypothetical protein
IENKKHDG_01570	CDS	129				hypothetical protein
IENKKHDG_01571	CDS	174				hypothetical protein
IENKKHDG_01572	CDS	123				hypothetical protein
IENKKHDG_01573	CDS	129				hypothetical protein
IENKKHDG_01574	CDS	174				hypothetical protein
IENKKHDG_01575	CDS	123				hypothetical protein
IENKKHDG_01576	CDS	129				hypothetical protein
IENKKHDG_01577	CDS	174				hypothetical protein
IENKKHDG_01578	CDS	123				hypothetical protein
IENKKHDG_01579	CDS	129				hypothetical protein
IENKKHDG_01580	CDS	174				hypothetical protein
IENKKHDG_01581	CDS	123				hypothetical protein
IENKKHDG_01582	CDS	129				hypothetical protein
IENKKHDG_01583	CDS	174				hypothetical protein
IENKKHDG_01584	CDS	123				hypothetical protein
IENKKHDG_01585	CDS	129				hypothetical protein
IENKKHDG_01586	CDS	174				hypothetical protein
IENKKHDG_01587	CDS	123				hypothetical protein
IENKKHDG_01588	CDS	129				hypothetical protein
IENKKHDG_01589	CDS	174				hypothetical protein
IENKKHDG_01590	CDS	123				hypothetical protein
IENKKHDG_01591	CDS	129				hypothetical protein
IENKKHDG_01592	CDS	174				hypothetical protein
IENKKHDG_01593	CDS	123				hypothetical protein
IENKKHDG_01594	CDS	129				hypothetical protein
IENKKHDG_01595	CDS	174				hypothetical protein
IENKKHDG_01596	CDS	123				hypothetical protein
IENKKHDG_01597	CDS	129				hypothetical protein
IENKKHDG_01598	CDS	174				hypothetical protein
IENKKHDG_01599	CDS	174				hypothetical protein
IENKKHDG_01600	CDS	123				hypothetical protein
IENKKHDG_01601	CDS	129				hypothetical protein
IENKKHDG_01602	CDS	174				hypothetical protein
IENKKHDG_01603	CDS	174				hypothetical protein
IENKKHDG_01604	CDS	174				hypothetical protein
IENKKHDG_01605	CDS	123				hypothetical protein
IENKKHDG_01606	CDS	129				hypothetical protein
IENKKHDG_01607	CDS	174				hypothetical protein
IENKKHDG_01608	CDS	123				hypothetical protein
IENKKHDG_01609	CDS	129				hypothetical protein
IENKKHDG_01610	CDS	174				hypothetical protein
IENKKHDG_01611	CDS	123				hypothetical protein
IENKKHDG_01612	CDS	129				hypothetical protein
IENKKHDG_01613	CDS	174				hypothetical protein
IENKKHDG_01614	CDS	123				hypothetical protein
IENKKHDG_01615	CDS	129				hypothetical protein
IENKKHDG_01616	CDS	174				hypothetical protein
IENKKHDG_01617	CDS	174				hypothetical protein
IENKKHDG_01618	CDS	123				hypothetical protein
IENKKHDG_01619	CDS	129				hypothetical protein
IENKKHDG_01620	CDS	174				hypothetical protein
IENKKHDG_01621	CDS	123				hypothetical protein
IENKKHDG_01622	CDS	129				hypothetical protein
IENKKHDG_01623	CDS	174				hypothetical protein
IENKKHDG_01624	CDS	123				hypothetical protein
IENKKHDG_01625	CDS	129				hypothetical protein
IENKKHDG_01626	CDS	174				hypothetical protein
IENKKHDG_01627	CDS	123				hypothetical protein
IENKKHDG_01628	CDS	129				hypothetical protein
IENKKHDG_01629	CDS	174				hypothetical protein
IENKKHDG_01630	CDS	174				hypothetical protein
IENKKHDG_01631	CDS	129				hypothetical protein
IENKKHDG_01632	CDS	174				hypothetical protein
IENKKHDG_01633	CDS	174				hypothetical protein
IENKKHDG_01634	CDS	123				hypothetical protein
IENKKHDG_01635	CDS	129				hypothetical protein
IENKKHDG_01636	CDS	174				hypothetical protein
IENKKHDG_01637	CDS	123				hypothetical protein
